video_id,comments
YpT6d1sxrlI,"[{'comment_text': ""Excelente aula, Leon, massa! Obrigado mesmo! Estou assistindo agora várias aulas mais antigas depois que descobri o Let's Data, e fiquei com uma dúvida: você trabalhou na Receita ou deu aula de Python ao pessoal da Receita?"", 'likes': 1}, {'comment_text': 'Muito boa aula. Mas tenho um problema que não consegui resolver ainda. Tenho uma infinitade de lista numéricas com números inteiros. Como faço para saber quantas e quais listas são iguais ou semelhantes com fator de 1 unidade ?', 'likes': 3}, {'comment_text': 'Aula excelente. Pergunto. Como faço para baixar o arquivo no Seaborn ?', 'likes': 1}, {'comment_text': 'cara o meu delimitador é  |  essa barra ai como abrir???  não funciona colocar esse delimitador mesmo assim da erro', 'likes': 2}, {'comment_text': 'Olá! Eu também poderia usar o strip(\' "" \') para retirar as aspas do inicio e do fim da linha?', 'likes': 1}, {'comment_text': 'Muito obrigada pelo vídeo, tive problemas com importação e tratamento da minha base na empresa e aqui achei a correção pra todos os campos que precisava na importação. Muito obrigada!! 😍👊🏻', 'likes': 6}, {'comment_text': 'Uma dúvida: como eu faço uma barra de pesquisa, onde eu possa digitar, que busque as informações que eu preciso em um arquivo csv? eu li algumas coisas sobre formulários, mas não achei nada sobre barra de pesquisa', 'likes': 0}, {'comment_text': 'Me ajudou muito!! Muito obrigada!', 'likes': 2}, {'comment_text': 'Excelente aula!!!', 'likes': 2}, {'comment_text': 'cara, obrigado pelo vídeo\ntive de fazer a maior gambiarra pra ler um csv estes dias, e não encontrei nada tão completo como rei vídeo', 'likes': 2}]"
T5KyCu1Ts3k,[]
Vaoxus--cls,"[{'comment_text': 'show de bola 😎', 'likes': 0}]"
GGEVYazshZM,[]
M10uJZCBZtQ,[]
apWHs4pyvu4,[]
-Spju2PStqQ,[]
ZAERFTqi59c,[]
X_9rH38ee1s,"[{'comment_text': ""Excelente episódio! Parabéns, Let's Data! Muito obrigado, Mário!"", 'likes': 3}, {'comment_text': 'Chiphuyen, muito boa', 'likes': 3}, {'comment_text': 'Fantástico! Perdi o momento da live...', 'likes': 6}, {'comment_text': 'Episódio muito bom!', 'likes': 6}]"
EjigKRjvp-Y,[]
6TDIPE8OjTk,[]
